date,target_level_max,hermann_level,grafton_level,daily_precip,daily_temp_avg,daily_humidity,daily_wind,soil_deep_30d
2019-05-10,39.55,24.02,31.34,0.0,12.166666666666666,63.16666666666666,9.616666666666667,0.4058358796296296
2019-05-11,39.52,24.71,31.08,14.7,10.104166666666666,82.91666666666667,10.0875,0.4065498263888889
2019-05-12,39.49,25.22,30.91,1.1,10.958333333333334,81.375,8.429166666666667,0.4072295138888889
2019-05-13,39.42,25.22,30.63,0.0,12.291666666666666,69.25,8.200000000000001,0.4079596064814815
2019-05-14,39.26,24.43,30.25,0.4,15.808333333333335,63.75,9.558333333333334,0.4087019097222222
2019-05-15,38.78,24.31,29.79,3.0,19.2,74.5,9.541666666666666,0.4091792245370371
2019-05-16,38.32,23.54,29.29,1.2,22.1,75.20833333333333,14.425,0.409427025462963
2019-05-17,37.76,22.79,28.77,0.0,24.758333333333336,62.0,14.579166666666666,0.4096374421296296
2019-05-18,36.97,22.09,28.13,2.9,24.15833333333333,64.95833333333333,18.95833333333333,0.4097838541666667
2019-05-19,36.24,21.38,27.49,3.9,20.79583333333333,72.33333333333333,20.5625,0.4095556134259259
2019-05-20,35.53,21.74,26.97,0.0,16.591666666666665,66.45833333333333,10.129166666666666,0.4087704282407407
2019-05-21,35.52,23.77,26.78,28.5,17.654166666666665,76.16666666666667,20.025,0.4078489583333333
2019-05-22,37.08,27.56,27.41,0.2,22.89583333333333,66.20833333333333,18.45,0.4069331018518518
2019-05-23,38.74,29.97,28.53,12.7,23.870833333333334,80.04166666666667,10.829166666666666,0.4062419560185185
2019-05-24,40.15,31.35,29.65,0.0,26.2875,69.70833333333333,14.245833333333332,0.4056810185185185
2019-05-25,41.07,32.08,30.58,0.0,25.9625,70.125,15.05,0.4050935763888889
2019-05-26,41.76,32.29,31.06,4.6,23.766666666666666,78.83333333333333,7.279166666666666,0.4041291087962963
2019-05-27,42.12,31.79,31.34,0.2,25.604166666666668,71.83333333333333,17.162499999999998,0.4028060763888889
2019-05-28,42.27,31.19,31.59,0.2,25.933333333333334,66.54166666666667,15.845833333333331,0.4014907986111111
2019-05-29,42.38,31.25,31.94,6.6,24.179166666666664,76.5,12.641666666666666,0.4002075231481481
2019-05-30,42.7,31.46,32.32,0.6,20.829166666666666,73.04166666666667,12.929166666666667,0.3992395833333333
2019-05-31,43.02,31.54,32.74,0.4,21.7375,68.5,5.775,0.3984403356481481
2019-06-01,43.41,31.79,33.01,0.0,23.054166666666664,71.25,9.25,0.3972815393518518
2019-06-02,44.11,31.92,33.74,0.0,21.820833333333336,68.66666666666667,11.35,0.3959289930555555
2019-06-03,44.58,31.68,34.36,0.0,20.75,54.375,10.375,0.3943928240740741
2019-06-04,44.88,32.03,34.73,4.6000000000000005,22.72083333333333,70.0,15.108333333333334,0.3926650462962963
2019-06-05,44.93,32.51,34.05,18.2,25.5125,80.29166666666667,11.6125,0.390927662037037
2019-06-06,45.41,33.2,34.82,1.1,23.29583333333333,85.20833333333333,4.366666666666666,0.3892951388888889
2019-06-07,45.76,33.22,35.1,2.6,24.275,76.75,11.966666666666669,0.3877034722222222
2019-06-08,46.02,33.4,35.13,6.1,22.1625,77.83333333333333,11.208333333333334,0.3860916087962963
