lead_time_days,date,target_level_max,target_level_mean,target_level_min,target_level_std,grafton_level,hermann_level,daily_precip,daily_temp_avg,daily_snowfall,daily_humidity,daily_wind,precip_7d,precip_14d,precip_30d,soil_deep_30d,heavy_rain_48h,is_flood,is_major_flood,hermann_lag1d,grafton_lag1d,target_lag1d,hermann_lag2d,grafton_lag2d,target_lag2d,hermann_lag3d,grafton_lag3d,target_lag3d,hermann_lag5d,grafton_lag5d,hermann_lag7d,grafton_lag7d,precip_7d_lag1d,precip_14d_lag1d,precip_30d_lag1d,soil_deep_30d_lag1d,daily_precip_lag1d,hermann_ma3d,grafton_ma3d,hermann_ma7d,grafton_ma7d,hermann_ma14d,grafton_ma14d,source_file,hermann_lag4d,grafton_lag4d,target_lag4d,hermann_lag6d,grafton_lag6d,hermann_lag8d,grafton_lag8d,precip_7d_lag2d,precip_14d_lag2d,precip_30d_lag2d,soil_deep_30d_lag2d,daily_precip_lag2d,target_lag5d,hermann_lag9d,grafton_lag9d,precip_7d_lag3d,precip_14d_lag3d,precip_30d_lag3d,soil_deep_30d_lag3d,daily_precip_lag3d
1,2023-09-02,-2.58,-2.6563636363636363,-2.79,0.0601985351679226,14.13,4.09,0.0,24.3375,0.0,70.20833333333333,6.925,27.320833333333315,30.90000000000001,114.2375,0.315737037037037,0,0,0,3.98,14.28,-2.51,4.0,14.62,-2.04,3.94,15.14,-1.66,4.25,16.05,5.55,15.47,29.89999999999998,30.90000000000001,149.825,0.3139737268518519,0.0,3.9733333333333287,14.679999999999986,4.398571428571429,15.285714285714286,5.182142857142857,15.515,test.csv,,,,,,,,,,,,,,,,,,,,
2,2023-09-02,-2.58,-2.6563636363636363,-2.79,0.0601985351679226,14.13,4.09,0.0,24.3375,0.0,70.20833333333333,6.925,27.320833333333315,30.90000000000001,114.2375,0.315737037037037,0,0,0,,,,4.0,14.62,-2.04,3.94,15.14,-1.66,,,,,,,,,,3.953333333333328,15.143333333333322,4.597142857142857,15.428571428571429,5.585714285714286,15.617857142857142,test.csv,3.92,15.67,-0.91,5.15,15.77,5.37,15.28,29.89999999999998,30.99583333333334,152.29999999999998,0.3120534722222222,0.0,,,,,,,,
3,2023-09-02,-2.58,-2.6563636363636363,-2.79,0.0601985351679226,14.13,4.09,0.0,24.3375,0.0,70.20833333333333,6.925,27.320833333333315,30.90000000000001,114.2375,0.315737037037037,0,0,0,,,,,,,3.94,15.14,-1.66,4.25,16.05,5.55,15.47,,,,,,4.036666666666662,15.619999999999989,4.837142857142857,15.575714285714286,6.116428571428572,15.695714285714285,test.csv,3.92,15.67,-0.91,,,,,,,,,,-0.85,5.68,15.65,29.91249999999998,31.00000000000001,152.29999999999998,0.3101039930555555,0.0
