lead_time_days,date,target_level_max,target_level_mean,target_level_min,target_level_std,grafton_level,hermann_level,daily_precip,daily_temp_avg,daily_snowfall,daily_humidity,daily_wind,precip_7d,precip_14d,precip_30d,soil_deep_30d,heavy_rain_48h,is_flood,is_major_flood,hermann_lag1d,grafton_lag1d,target_lag1d,hermann_lag2d,grafton_lag2d,target_lag2d,hermann_lag3d,grafton_lag3d,target_lag3d,hermann_lag5d,grafton_lag5d,hermann_lag7d,grafton_lag7d,precip_7d_lag1d,precip_14d_lag1d,precip_30d_lag1d,soil_deep_30d_lag1d,daily_precip_lag1d,hermann_ma3d,grafton_ma3d,hermann_ma7d,grafton_ma7d,hermann_ma14d,grafton_ma14d,source_file,hermann_lag4d,grafton_lag4d,target_lag4d,hermann_lag6d,grafton_lag6d,hermann_lag8d,grafton_lag8d,precip_7d_lag2d,precip_14d_lag2d,precip_30d_lag2d,soil_deep_30d_lag2d,daily_precip_lag2d,target_lag5d,hermann_lag9d,grafton_lag9d,precip_7d_lag3d,precip_14d_lag3d,precip_30d_lag3d,soil_deep_30d_lag3d,daily_precip_lag3d
1,2019-03-31,37.45,37.12375,36.58,0.2181107118155791,27.99,28.44,0.0,2.833333333333333,0.0,51.75,12.954166666666666,57.566666666666656,63.145833333333336,140.07083333333335,0.3868304398148148,1,1,0,27.0,27.21,36.75,26.39,26.82,35.66,25.81,26.44,35.15,24.98,26.09,23.81,25.57,36.504166666666656,39.40416666666667,117.9875,0.387568287037037,27.9,26.39999999999999,26.823333333333323,25.392857142857142,26.327142857142857,24.888571428571428,24.90857142857143,test.csv,,,,,,,,,,,,,,,,,,,,
2,2019-03-31,37.45,37.12375,36.58,0.2181107118155791,27.99,28.44,0.0,2.833333333333333,0.0,51.75,12.954166666666666,57.566666666666656,63.145833333333336,140.07083333333335,0.3868304398148148,1,1,0,,,,26.39,26.82,35.66,25.81,26.44,35.15,,,,,,,,,,25.90333333333332,26.523333333333323,24.89,26.055714285714284,24.74714285714285,24.454999999999995,test.csv,25.51,26.31,34.79,24.25,25.85,23.48,25.31,21.20833333333332,24.10833333333333,102.80833333333334,0.3887593171296297,7.300000000000001,,,,,,,,
3,2019-03-31,37.45,37.12375,36.58,0.2181107118155791,27.99,28.44,0.0,2.833333333333333,0.0,51.75,12.954166666666666,57.566666666666656,63.145833333333336,140.07083333333335,0.3868304398148148,1,1,0,,,,,,,25.81,26.44,35.15,24.98,26.09,23.81,25.57,,,,,,25.433333333333323,26.27999999999999,24.485714285714284,25.79,24.513571428571428,23.987142857142857,test.csv,25.51,26.31,34.79,,,,,,,,,,34.31,23.56,24.96,11.98333333333332,24.4375,93.5625,0.3899767361111111,13.7
