lead_time_days,date,target_level_max,target_level_mean,target_level_min,target_level_std,grafton_level,hermann_level,daily_precip,daily_temp_avg,daily_snowfall,daily_humidity,daily_wind,precip_7d,precip_14d,precip_30d,soil_deep_30d,heavy_rain_48h,is_flood,is_major_flood,hermann_lag1d,grafton_lag1d,target_lag1d,hermann_lag2d,grafton_lag2d,target_lag2d,hermann_lag3d,grafton_lag3d,target_lag3d,hermann_lag5d,grafton_lag5d,hermann_lag7d,grafton_lag7d,precip_7d_lag1d,precip_14d_lag1d,precip_30d_lag1d,soil_deep_30d_lag1d,daily_precip_lag1d,hermann_ma3d,grafton_ma3d,hermann_ma7d,grafton_ma7d,hermann_ma14d,grafton_ma14d,source_file,hermann_lag4d,grafton_lag4d,target_lag4d,hermann_lag6d,grafton_lag6d,hermann_lag8d,grafton_lag8d,precip_7d_lag2d,precip_14d_lag2d,precip_30d_lag2d,soil_deep_30d_lag2d,daily_precip_lag2d,target_lag5d,hermann_lag9d,grafton_lag9d,precip_7d_lag3d,precip_14d_lag3d,precip_30d_lag3d,soil_deep_30d_lag3d,daily_precip_lag3d
1,2020-04-11,26.51,26.29395833333333,26.07,0.1182089672109423,21.07,16.82,1.6,12.158333333333331,0.0,51.375,16.716666666666665,4.491666666666653,19.541666666666668,138.70000000000002,0.3814317129629629,0,0,0,17.02,21.26,26.99,17.79,21.45,27.27,18.13,21.59,27.46,18.0,21.84,17.97,22.03,5.38333333333332,41.55416666666667,138.8,0.3810773726851852,0.0,17.646666666666654,21.433333333333326,17.884285714285713,21.69142857142857,18.76714285714285,21.92,test.csv,,,,,,,,,,,,,,,,,,,,
2,2020-04-11,26.51,26.29395833333333,26.07,0.1182089672109423,21.07,16.82,1.6,12.158333333333331,0.0,51.375,16.716666666666665,4.491666666666653,19.541666666666668,138.70000000000002,0.3814317129629629,0,0,0,,,,17.79,21.45,27.27,18.13,21.59,27.46,,,,,,,,,,18.08666666666665,21.579999999999988,18.012857142857143,21.81,19.040714285714284,21.94,test.csv,18.34,21.7,27.48,17.94,21.97,17.92,22.09,5.4874999999999865,49.8875,142.69583333333335,0.3806451967592592,0.1,,,,,,,,
3,2020-04-11,26.51,26.29395833333333,26.07,0.1182089672109423,21.07,16.82,1.6,12.158333333333331,0.0,51.375,16.716666666666665,4.491666666666653,19.541666666666668,138.70000000000002,0.3814317129629629,0,0,0,,,,,,,18.13,21.59,27.46,18.0,21.84,17.97,22.03,,,,,,18.156666666666656,21.70999999999999,18.10142857142857,21.912857142857145,19.32928571428572,21.937857142857144,test.csv,18.34,21.7,27.48,,,,,,,,,,27.59,18.41,22.17,4.504166666666653,49.73333333333333,154.9,0.3799265624999999,1.2999999999999998
