date,target_level_max,target_level_mean,target_level_min,target_level_std,grafton_level,hermann_level,daily_precip,daily_temp_avg,daily_snowfall,daily_humidity,daily_wind,precip_7d,precip_14d,precip_30d,soil_deep_30d,heavy_rain_48h,is_flood,is_major_flood
2010-10-13,21.47,21.30375,21.19,0.08499680300893069,17.55,13.55,5.6000000000000005,17.816666666666666,0.0,59.833333333333336,15.079166666666666,0.2916666666666661,1.8916666666666737,35.49166666666667,0.2388126736111111,0,0,0
2010-10-14,21.19,20.935,20.54,0.18980539232730279,17.26,13.06,0.0,15.416666666666666,0.0,43.0,11.091666666666667,5.599999999999997,7.200000000000007,40.800000000000004,0.23880740740740738,0,0,0
2010-10-15,20.6,20.301666666666666,19.97,0.1852534495757368,17.04,12.64,0.0,15.645833333333334,0.0,45.125,10.095833333333333,5.599999999999997,7.200000000000007,40.800000000000004,0.2387704282407407,0,0,0
2010-10-16,20.02,19.65791666666667,19.29,0.21372430771941434,16.72,12.4,0.0,15.879166666666668,0.0,48.5,11.558333333333332,5.599999999999997,6.975000000000008,36.30416666666667,0.23869531249999998,0,0,0
2010-10-17,19.32,19.111250000000002,18.79,0.1650905548611044,16.48,12.16,0.0,18.008333333333333,0.0,57.583333333333336,7.916666666666667,5.599999999999997,5.600000000000008,31.8,0.2385890625,0,0,0
2010-10-18,18.8,18.481666666666666,18.21,0.19052939215607403,16.21,12.05,0.5,17.724999999999998,0.0,59.75,7.925,5.599999999999997,5.600000000000008,31.8,0.23845694444444443,0,0,0
2010-10-19,18.25,17.862083333333334,17.46,0.28631055147175144,15.93,11.91,0.0,13.958333333333334,0.0,49.208333333333336,5.433333333333334,5.962499999999998,5.962500000000008,32.12500000000001,0.2383063657407407,0,0,0
2010-10-20,17.46,17.08458333333333,16.45,0.332970545330918,15.65,11.81,0.0,15.1,0.0,48.958333333333336,12.291666666666666,5.80833333333333,6.100000000000008,31.600000000000005,0.2381223958333333,0,0,0
2010-10-21,16.43,16.142083333333336,15.63,0.28854928245586925,15.63,11.63,0.0,14.683333333333332,0.0,39.75,10.770833333333334,0.49999999999999645,6.100000000000008,31.600000000000005,0.23793587962962962,0,0,0
2010-10-22,15.7,15.301666666666668,14.44,0.4373404470966152,15.61,11.46,0.0,15.316666666666668,0.0,40.041666666666664,12.525,0.49999999999999645,6.100000000000008,29.183333333333337,0.23774618055555555,0,0,0
